Time of calculation: 20210916-174545; value of objective: 1089734.0532961297;  acc=20;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.9;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,energy_demand,energy_demand_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,traffic_flow_1,energy_demand_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.00000000002,12193.00000000001,59974.325349551335,45433.23590445468,1.0,54.0,41.0,53889.91231400921,40889.91231400921,0.0,0.0,86.98050058698755,0.0,13297.00000000001,14541.089445096652,13.0,13000.0,0.0,86.98050058698755
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31485.99999999933,111561.50482266714,34431.882550071685,0.0,70.0,-0.0,69503.64054592291,0.0,86.98050058698755,0.0,30988.694295064503,30988.694295064517,31709.9999999998,77129.62227259546,70.0,69503.64054592291,86.98050058698755,-1.4551915228366852e-11
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,29897.99999542764,72732.0809427628,72732.0809427628,1.0,97.0,97.0,96447.56714355104,96447.56714355104,30988.694295064517,30988.694295064517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,0.0,109130.95569981833,0.0,1.0,44.0,0.0,44000.0,0.0,-1.4551915228366852e-11,0.0,54217.86012983648,0.0,30234.999996719125,109130.95569981833,44.0,44000.0,-1.4551915228366852e-11,54217.86012983648
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35583.0,227454.84943410664,128422.41740026572,1.0,209.0,65.0,208347.04896029344,65000.0,54217.86012983648,0.0,50580.17566023903,50580.175660239154,35565.0,99032.43203384092,144.0,143347.04896029344,54217.86012983648,-1.2369127944111824e-10
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,136934.36037638868,0.0,1.0,75.0,0.0,75000.0,0.0,-1.2369127944111824e-10,0.0,48240.92433874969,0.0,29188.0,136934.36037638868,75.0,75000.0,-1.2369127944111824e-10,48240.92433874969
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,78562.33219617409,78562.33219617409,1.0,73.0,73.0,72599.87463679584,72599.87463679584,50580.175660239154,50580.175660239154,48686.4,48686.4,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,60488.07492270462,60488.07492270462,1.0,55.0,55.0,55000.0,55000.0,48686.4,48686.4,48125.66743043416,48125.66743043416,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,0.0,104129.25066774894,0.0,1.0,97.0,0.0,97000.0,0.0,48240.92433874969,0.0,44957.24993972375,0.0,27161.40445083877,104129.25066774894,97.0,97000.0,48240.92433874969,44957.24993972375
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,26898.000000000207,72226.10016870651,72226.10016870651,1.0,113.0,113.0,113000.0,113000.0,48125.66743043416,48125.66743043416,129.15758227002516,129.15758227002516,0.0,0.0,0.0,0.0,0.0,0.0
